# submitted_item	validated_id	current_symbol
FBgn0034501	FBgn0034501	CG13868
FBgn0036914	FBgn0014037	Su(Tpl)
FBgn0036914	FBgn0052218	lncRNA:CR32218
FBgn0035310	FBgn0026570	CG5704
FBgn0004629	FBgn0004629	Cys
FBgn0000216	FBgn0000216	Brd
FBgn0000227	FBgn0000227	Elba1
FBgn0001168	FBgn0001168	h
FBgn0001981	FBgn0287768	esg
FBgn0002561	FBgn0002561	l(1)sc
FBgn0002629	FBgn0002629	E(spl)m4-BFM
FBgn0003313	FBgn0003313	sala
FBgn0003448	FBgn0003448	sna
FBgn0003510	FBgn0003510	Sry-alpha
FBgn0003720	FBgn0003720	tll
FBgn0003865	FBgn0003865	tsg
FBgn0004053	FBgn0004053	zen
FBgn0004054	FBgn0004054	zen2
FBgn0004143	FBgn0004143	nullo
FBgn0004170	FBgn0004170	sc
FBgn0013755	FBgn0013755	Bro
FBgn0027104	FBgn0003270	amos
FBgn0029931	FBgn0029931	CG14427
FBgn0030807	FBgn0030807	CG13000
FBgn0031086	FBgn0031086	fd19B
FBgn0031346	FBgn0001174	halo
FBgn0031393	FBgn0031393	CG15382
FBgn0031718	FBgn0031718	CG14014
FBgn0031719	FBgn0031719	CG18269
FBgn0032335	FBgn0032335	CG14915
FBgn0032489	FBgn0032489	CG15480
FBgn0032491	FBgn0032491	CG16815
FBgn0033030	FBgn0033030	CG1294
FBgn0034465	FBgn0015949	hrg
FBgn0034514	FBgn0034514	CG13427
FBgn0035525	FBgn0261952	srw
FBgn0035563	FBgn0035563	CG13716
FBgn0035569	FBgn0035569	CG15876
FBgn0035570	FBgn0035570	CG13712
FBgn0035572	FBgn0035572	CG13711
FBgn0035618	FBgn0003486	spo
FBgn0036349	FBgn0036349	SNCF
FBgn0036791	FBgn0036791	CG7271
FBgn0036810	FBgn0036810	CG6885
FBgn0037085	FBgn0037085	Neu2
FBgn0038566	FBgn0038566	CG14317
FBgn0039675	FBgn0039675	ppk21
FBgn0040701	FBgn0040701	CG13714
FBgn0040702	FBgn0042199	CG13713
FBgn0040808	FBgn0040487	BobA
FBgn0040984	FBgn0040984	CG4440
FBgn0003300	FBgn0003300	run
FBgn0003430	FBgn0003430	slp1
FBgn0039423	FBgn0053970	osy
FBgn0035315	FBgn0035315	CG8960
FBgn0035770	FBgn0035770	pst
FBgn0026320	FBgn0026320	Tom
FBgn0005771	FBgn0005771	noc
FBgn0031621	FBgn0031621	Elba3
FBgn0032017	FBgn0032017	CG7810
FBgn0032046	FBgn0262029	d
FBgn0031291	FBgn0053526	PNUTS
FBgn0032681	FBgn0032681	CG10283
FBgn0031950	FBgn0031950	Herp
FBgn0031657	FBgn0031657	Polr1C
FBgn0031590	FBgn0031590	CG3702
FBgn0031717	FBgn0031717	Oscillin
FBgn0003278	FBgn0003278	Polr1B
FBgn0032466	FBgn0021796	Tor
FBgn0024245	FBgn0024245	dnt
FBgn0031290	FBgn0029095	aru
FBgn0028894	FBgn0028894	GMF
FBgn0032731	FBgn0032731	Swip-1
FBgn0032036	FBgn0032036	CG13384
FBgn0001309	FBgn0266557	kis
FBgn0031605	FBgn0025684	MFS18
FBgn0028633	FBgn0086657	IKKepsilon
FBgn0031245	FBgn0031245	CG3625
FBgn0004583	FBgn0004583	ex
FBgn0032377	FBgn0032377	CG14937
FBgn0032205	FBgn0032205	CG4957
FBgn0023416	FBgn0023416	Ac3
FBgn0015772	FBgn0015772	Nak
FBgn0032646	FBgn0032646	mEFTs
FBgn0010583	FBgn0010583	dock
FBgn0032197	FBgn0032197	ova
FBgn0011673	FBgn0086347	Myo31DF
FBgn0000058	FBgn0003866	tsh
FBgn0000227	FBgn0000227	Elba1
FBgn0000413	FBgn0267821	da
FBgn0000490	FBgn0000490	dpp
FBgn0001981	FBgn0287768	esg
FBgn0001987	FBgn0001987	Gli
FBgn0001994	FBgn0001994	crp
FBgn0002970	FBgn0085424	nub
FBgn0002985	FBgn0002985	odd
FBgn0003310	FBgn0003310	S
FBgn0003313	FBgn0003313	sala
FBgn0003448	FBgn0003448	sna
FBgn0003716	FBgn0003716	tkv
FBgn0004009	FBgn0284084	wg
FBgn0004394	FBgn0004394	pdm2
FBgn0004567	FBgn0004567	slp2
FBgn0004579	FBgn0261648	salm
FBgn0004892	FBgn0004892	sob
FBgn0005616	FBgn0005616	msl-2
FBgn0005672	FBgn0005672	spi
FBgn0011202	FBgn0011202	dia
FBgn0011584	FBgn0011584	Trp1
FBgn0011638	FBgn0011638	La
FBgn0014015	FBgn0264895	RapGAP1
FBgn0014179	FBgn0014179	gcm
FBgn0015000	FBgn0015000	betaggt-I
FBgn0015299	FBgn0015299	Ssb-c31a
FBgn0015567	FBgn0264855	AP-2alpha
FBgn0015621	FBgn0015621	Clp
FBgn0015924	FBgn0015924	crq
FBgn0024320	FBgn0024320	Npc1a
FBgn0026379	FBgn0026379	Pten
FBgn0027104	FBgn0003270	amos
FBgn0028538	FBgn0028538	Sec71
FBgn0028694	FBgn0028694	Rpn11
FBgn0028876	FBgn0260011	NimC4
FBgn0031215	FBgn0002931	net
FBgn0031243	FBgn0086855	CG17078
FBgn0031434	FBgn0031434	insv
FBgn0031475	FBgn0051694	Ifrd1
FBgn0031535	FBgn0031535	CG12795
FBgn0031595	FBgn0010473	tutl
FBgn0031607	FBgn0031607	Secp43
FBgn0031632	FBgn0031632	CG15628
FBgn0031636	FBgn0031636	CG12194
FBgn0031718	FBgn0031718	CG14014
FBgn0031806	FBgn0043854	slam
FBgn0031879	FBgn0031879	uif
FBgn0031898	FBgn0263133	mEFG1
FBgn0032002	FBgn0032002	CG8353
FBgn0032097	FBgn0052982	CG32982
FBgn0032098	FBgn0052982	CG32982
FBgn0032117	FBgn0032117	FucTB
FBgn0032154	FBgn0032154	mtDNA-helicase
FBgn0032194	FBgn0032194	CG4901
FBgn0032195	FBgn0032195	CG4908
FBgn0032202	FBgn0032202	REPTOR-BP
FBgn0032217	FBgn0032217	CG4972
FBgn0032221	FBgn0032221	Schip1
FBgn0032230	FBgn0032230	lft
FBgn0032244	FBgn0032244	RfC3
FBgn0032270	FBgn0051721	Trim9
FBgn0032298	FBgn0032298	CG6724
FBgn0032335	FBgn0032335	CG14915
FBgn0032355	FBgn0040232	cmet
FBgn0032390	FBgn0032390	dgt2
FBgn0032468	FBgn0028965	CG9933
FBgn0032489	FBgn0032489	CG15480
FBgn0032491	FBgn0032491	CG16815
FBgn0032493	FBgn0032493	Mabi
FBgn0032629	FBgn0032629	beat-IIIc
FBgn0032682	FBgn0032682	grnd
FBgn0032960	FBgn0086779	step
FBgn0040518	FBgn0086779	step
FBgn0040984	FBgn0040984	CG4440
FBgn0032157	FBgn0032157	Etl1
FBgn0031745	FBgn0031745	rau
FBgn0027609	FBgn0027609	morgue
FBgn0028541	FBgn0028541	TM9SF4
FBgn0003430	FBgn0003430	slp1
FBgn0031645	FBgn0031645	CG3036
FBgn0028523	FBgn0028523	CG5888
FBgn0032327	FBgn0026147	TTLL4A
FBgn0000675	FBgn0000675	flp
FBgn0022153	FBgn0022153	l(2)k05819
FBgn0032395	FBgn0032395	Wdr81
FBgn0024371	FBgn0024371	E2f2
FBgn0032099	FBgn0052982	CG32982
FBgn0031897	FBgn0031897	CG13784
FBgn0010460	FBgn0259176	bun
FBgn0017551	FBgn0017551	Rca1
FBgn0028926	FBgn0028926	NC2beta
FBgn0020304	FBgn0020304	drongo
FBgn0032358	FBgn0032358	Ppt2
FBgn0031971	FBgn0031971	Sirup
FBgn0028507	FBgn0028507	CG3793
FBgn0003145	FBgn0003145	prd
FBgn0016930	FBgn0016930	Dyrk2
FBgn0031536	FBgn0031536	Cog3
FBgn0032079	FBgn0032079	CG31886
FBgn0032841	FBgn0003978	vls
FBgn0032121	FBgn0032120	CG33298
FBgn0031661	FBgn0031661	Gmd
FBgn0032451	FBgn0032451	spict
FBgn0031899	FBgn0259111	Ndae1
FBgn0000229	FBgn0000229	bsk
FBgn0024291	FBgn0024291	Sirt1
FBgn0032694	FBgn0032694	MESR3
FBgn0031911	FBgn0028387	chm
FBgn0031435	FBgn0031435	Elba2
FBgn0012037	FBgn0012037	Ance
FBgn0005683	FBgn0005683	pie
FBgn0032873	FBgn0032873	CG2614
FBgn0032848	FBgn0032848	nesd
FBgn0004893	FBgn0004893	bowl
FBgn0031303	FBgn0016926	Pino
FBgn0010300	FBgn0010300	brat
FBgn0032691	FBgn0032691	Atac2
