study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_title
PRJEB12982	SAMEA3892004	ERS1079138	ERX1512938	ERR1442561	7955	Danio rerio	Illumina HiSeq 2500	16564904	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442561/ERR1442561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442561/ERR1442561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442561/ERR1442561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442561/ERR1442561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#1.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#1.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#1.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#1.cram.crai	ZMP_phenotype_115_B
PRJEB12982	SAMEA3892005	ERS1079139	ERX1512939	ERR1442562	7955	Danio rerio	Illumina HiSeq 2500	16564916	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442562/ERR1442562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442562/ERR1442562_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442562/ERR1442562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442562/ERR1442562_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#2.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#2.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#2.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#2.cram.crai	ZMP_phenotype_115_C
PRJEB12982	SAMEA3892006	ERS1079140	ERX1512940	ERR1442563	7955	Danio rerio	Illumina HiSeq 2500	16564928	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442563/ERR1442563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442563/ERR1442563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442563/ERR1442563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442563/ERR1442563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#3.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#3.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#3.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#3.cram.crai	ZMP_phenotype_115_D
PRJEB12982	SAMEA3892007	ERS1079141	ERX1512941	ERR1442564	7955	Danio rerio	Illumina HiSeq 2500	16564940	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442564/ERR1442564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442564/ERR1442564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442564/ERR1442564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442564/ERR1442564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#4.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#4.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#4.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#4.cram.crai	ZMP_phenotype_115_E
PRJEB12982	SAMEA3892008	ERS1079142	ERX1512942	ERR1442565	7955	Danio rerio	Illumina HiSeq 2500	16564952	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442565/ERR1442565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442565/ERR1442565_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442565/ERR1442565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442565/ERR1442565_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#5.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#5.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#5.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#5.cram.crai	ZMP_phenotype_115_F
PRJEB12982	SAMEA3892009	ERS1079143	ERX1512943	ERR1442566	7955	Danio rerio	Illumina HiSeq 2500	16564964	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442566/ERR1442566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442566/ERR1442566_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442566/ERR1442566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442566/ERR1442566_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#6.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#6.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#6.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#6.cram.crai	ZMP_phenotype_116_A
PRJEB12982	SAMEA3892010	ERS1079144	ERX1512944	ERR1442567	7955	Danio rerio	Illumina HiSeq 2500	16564976	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442567/ERR1442567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442567/ERR1442567_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442567/ERR1442567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442567/ERR1442567_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#7.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#7.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#7.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#7.cram.crai	ZMP_phenotype_116_B
PRJEB12982	SAMEA3892011	ERS1079145	ERX1512945	ERR1442568	7955	Danio rerio	Illumina HiSeq 2500	16564988	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442568/ERR1442568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442568/ERR1442568_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442568/ERR1442568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442568/ERR1442568_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#8.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#8.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#8.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#8.cram.crai	ZMP_phenotype_116_C
PRJEB12982	SAMEA3892012	ERS1079146	ERX1512946	ERR1442569	7955	Danio rerio	Illumina HiSeq 2500	16564905	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442569/ERR1442569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442569/ERR1442569_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442569/ERR1442569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442569/ERR1442569_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#9.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#9.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#9.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#9.cram.crai	ZMP_phenotype_116_D
PRJEB12982	SAMEA3892013	ERS1079147	ERX1512947	ERR1442570	7955	Danio rerio	Illumina HiSeq 2500	16564917	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442570/ERR1442570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442570/ERR1442570_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442570/ERR1442570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442570/ERR1442570_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#10.cram	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#10.cram			ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#10.cram.crai	ftp.sra.ebi.ac.uk/vol1/ERA648/ERA648700/cram/19850_1#10.cram.crai	ZMP_phenotype_116_F
