id  expt_name   species
SRR11452217 CHILLE  montipora
SRR11452222 CHILLE  montipora
SRR11452228 CHILLE  montipora
SRR11452230 CHILLE  montipora
SRR11452231 CHILLE  montipora
SRR11452232 CHILLE  montipora
SRR11452233 CHILLE  montipora
SRR11452234 CHILLE  montipora
SRR11452237 CHILLE  montipora
SRR11452240 CHILLE  montipora
SRR11452242 CHILLE  montipora
SRR11452243 CHILLE  montipora
SRR11452246 CHILLE  montipora
SRR11452250 CHILLE  montipora
SRR11452251 CHILLE  montipora
SRR11452252 CHILLE  montipora
SRR11452254 CHILLE  montipora
SRR11452259 CHILLE  montipora
SRR11452260 CHILLE  montipora
SRR11452262 CHILLE  montipora
SRR11452263 CHILLE  montipora
