Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	LibrarySelection_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	developmental_stage_s	genotype_s	source_name_s	tissue_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	strain_s
RNA-Seq	40	SAMN05282089	SRX1870189	Illumina HiSeq 2500	cDNA	1190	764	SRR3710279	SRS1520717	GSM2210966	Stage 14 oocyte	wt	oocytes	oocytes	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
RNA-Seq	40	SAMN05282090	SRX1870190	Illumina HiSeq 2500	cDNA	1277	822	SRR3710280	SRS1520718	GSM2210967	Activated egg	wt	activated eggs	activated eggs	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
RNA-Seq	40	SAMN05282091	SRX1870191	Illumina HiSeq 2500	cDNA	1481	955	SRR3710281	SRS1520719	GSM2210968	Activated egg	png	activated eggs	activated eggs	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
OTHER	40	SAMN05282092	SRX1870192	Illumina HiSeq 2500	other	3883	2528	SRR3710282	SRS1520720	GSM2210969	Stage 14 oocyte	wt	oocytes	oocytes	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
OTHER	40	SAMN05282093	SRX1870193	Illumina HiSeq 2500	other	2027	1333	SRR3710283	SRS1520721	GSM2210970	Activated egg	wt	activated eggs	activated eggs	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
OTHER	40	SAMN05282094	SRX1870194	Illumina HiSeq 2500	other	2331	1452	SRR3710284	SRS1520722	GSM2210971	Activated egg	png	activated eggs	activated eggs	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
RNA-Seq	40	SAMN05282095	SRX1870195	Illumina HiSeq 2500	cDNA	750	440	SRR3710285	SRS1520723	GSM2210972	Stage 12 oocyte	wt	oocytes	oocytes	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
RNA-Seq	40	SAMN05282096	SRX1870196	Illumina HiSeq 2500	cDNA	726	427	SRR3710286	SRS1520724	GSM2210973	Stage 13 oocyte	wt	oocytes	oocytes	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
RNA-Seq	40	SAMN05282097	SRX1870197	Illumina HiSeq 2500	cDNA	1072	627	SRR3710287	SRS1520725	GSM2210974	Stage 14 oocyte	png	oocytes	oocytes	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
OTHER	40	SAMN05282098	SRX1870198	Illumina HiSeq 2500	other	1411	921	SRR3710288	SRS1520726	GSM2210975	Stage 12 oocyte	wt	oocytes	oocytes	PRJNA326506	GEO	public	0	SINGLE	TRANSCRIPTOMIC	2016-06-22	Drosophila melanogaster	ILLUMINA	2016-08-08	SRP076919	Oregon R
