study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_aspera	sample_title
PRJNA326506	SAMN05282089	SRS1520717	SRX1870189	SRR3710279	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/009/SRR3710279/SRR3710279.fastq.gz	Stage_14_wt_No_chx_RNA_1
PRJNA326506	SAMN05282090	SRS1520718	SRX1870190	SRR3710280	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/000/SRR3710280/SRR3710280.fastq.gz	Activated_egg_wt_No_chx_RNA_2
PRJNA326506	SAMN05282091	SRS1520719	SRX1870191	SRR3710281	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/001/SRR3710281/SRR3710281.fastq.gz	Activated_egg_png_Chx_RNA_6
PRJNA326506	SAMN05282092	SRS1520720	SRX1870192	SRR3710282	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/002/SRR3710282/SRR3710282.fastq.gz	Stage_14_wt_No_chx_RPF_7
PRJNA326506	SAMN05282093	SRS1520721	SRX1870193	SRR3710283	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/003/SRR3710283/SRR3710283.fastq.gz	Activated_egg_wt_No_chx_RPF_8
PRJNA326506	SAMN05282094	SRS1520722	SRX1870194	SRR3710284	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/004/SRR3710284/SRR3710284.fastq.gz	Activated_egg_png_Chx_RPF_12
PRJNA326506	SAMN05282095	SRS1520723	SRX1870195	SRR3710285	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/005/SRR3710285/SRR3710285.fastq.gz	Stage_12_wt_Chx_RNA_13
PRJNA326506	SAMN05282096	SRS1520724	SRX1870196	SRR3710286	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/006/SRR3710286/SRR3710286.fastq.gz	Stage_13_wt_Chx_RNA_14
PRJNA326506	SAMN05282097	SRS1520725	SRX1870197	SRR3710287	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/007/SRR3710287/SRR3710287.fastq.gz	Stage_14_png_Chx_RNA_15
PRJNA326506	SAMN05282098	SRS1520726	SRX1870198	SRR3710288	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/008/SRR3710288/SRR3710288.fastq.gz	Stage_12_wt_Chx_RPF_16
PRJNA326506	SAMN05282099	SRS1520727	SRX1870199	SRR3710289	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/009/SRR3710289/SRR3710289.fastq.gz	Stage_13_wt_Chx_RPF_17
PRJNA326506	SAMN05282100	SRS1520728	SRX1870200	SRR3710290	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/000/SRR3710290/SRR3710290.fastq.gz	Stage_14_png_Chx_RPF_18
PRJNA326506	SAMN05282101	SRS1520729	SRX1870201	SRR3710291	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/001/SRR3710291/SRR3710291.fastq.gz	0-1_h_wt_Chx_RNA_26
PRJNA326506	SAMN05282102	SRS1520730	SRX1870202	SRR3710292	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/002/SRR3710292/SRR3710292.fastq.gz	2-3_h_wt_Chx_RNA_19_27
PRJNA326506	SAMN05282103	SRS1520731	SRX1870203	SRR3710293	7227	Drosophila melanogaster	Illumina HiSeq 2500	SINGLE	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/003/SRR3710293/SRR3710293.fastq.gz	3-4_h_wt_Chx_RNA_20_28
